"SCHOOL_NAME","SCHOOL_YEAR","race_df","magnet","traditional","total_race","total_school","pct_race","pct_magnet","pct_traditional","dominant_race","STEM","ARTS","IB","MEDICAL","CAREER_TECH","ENVIRONMENTAL","num_programs","pct_free","pct_nonfree","diversity"
"DOWDELL MIDDLE SCHOOL",2022,"Black",62,64,126,512,0.24609375,0.492063492063492,0.507936507936508,"Hispanic",0,0,0,0,0,0,0,1,0,1.05193165289502
"DOWDELL MIDDLE SCHOOL",2022,"Hispanic",62,237,299,512,0.583984375,0.207357859531773,0.792642140468227,"Hispanic",0,0,0,0,0,0,0,1,0,1.05193165289502
"DOWDELL MIDDLE SCHOOL",2022,"Multiracial",0,20,20,512,0.0390625,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.05193165289502
"DOWDELL MIDDLE SCHOOL",2023,"White",19,54,73,535,0.136448598130841,0.26027397260274,0.73972602739726,"Hispanic",0,0,0,0,0,0,0,1,0,1.09729033092776
"DOWDELL MIDDLE SCHOOL",2023,"Asian",0,0,0,535,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,1,0,1.09729033092776
"DOWDELL MIDDLE SCHOOL",2023,"Black",68,69,137,535,0.25607476635514,0.496350364963504,0.503649635036496,"Hispanic",0,0,0,0,0,0,0,1,0,1.09729033092776
"DOWDELL MIDDLE SCHOOL",2023,"Hispanic",62,236,298,535,0.557009345794393,0.208053691275168,0.791946308724832,"Hispanic",0,0,0,0,0,0,0,1,0,1.09729033092776
"DOWDELL MIDDLE SCHOOL",2023,"Multiracial",0,27,27,535,0.0504672897196262,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.09729033092776
"Dowdell Middle Magnet School",2024,"White",24,80,104,799,0.130162703379224,0.230769230769231,0.769230769230769,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.07007563632577
"Dowdell Middle Magnet School",2024,"Asian",0,0,0,799,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.07007563632577
"Dowdell Middle Magnet School",2024,"Black",70,133,203,799,0.254067584480601,0.344827586206897,0.655172413793103,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.07007563632577
"Dowdell Middle Magnet School",2024,"Hispanic",50,407,457,799,0.571964956195244,0.109409190371991,0.890590809628009,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.07007563632577
"Dowdell Middle Magnet School",2024,"Multiracial",0,35,35,799,0.0438047559449312,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.07007563632577
"Dowdell Middle Magnet School ",2025,"White",18,64,82,607,0.135090609555189,0.219512195121951,0.780487804878049,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.01728146882634
"Dowdell Middle Magnet School ",2025,"Asian",0,0,0,607,0,NA,NA,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.01728146882634
"Dowdell Middle Magnet School ",2025,"Black",47,87,134,607,0.220757825370675,0.350746268656716,0.649253731343284,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.01728146882634
"Dowdell Middle Magnet School ",2025,"Hispanic",56,315,371,607,0.611202635914333,0.150943396226415,0.849056603773585,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.01728146882634
"Dowdell Middle Magnet School ",2025,"Multiracial",0,20,20,607,0.0329489291598023,0,1,"Hispanic",0,0,0,0,0,0,0,NA,NA,1.01728146882634
"ESSRIG ELEMENTARY",2022,"White",11,132,143,566,0.252650176678445,0.0769230769230769,0.923076923076923,"Hispanic",0,0,0,0,0,0,0,1,0,1.208736162924
"ESSRIG ELEMENTARY",2022,"Asian",0,30,30,566,0.0530035335689046,0,1,"Hispanic",0,0,0,0,0,0,0,1,0,1.208736162924
